INDICATOR	Indicator	LOCATION	Country	TIME	Time	Value	Flag Codes	Flags
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CRI	Costa Rica	2008	2008	108674.297		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CRI	Costa Rica	2009	2009	103798.3849		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CRI	Costa Rica	2012	2012	60959.49488		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CRI	Costa Rica	2013	2013	67208.66284		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CRI	Costa Rica	2014	2014	55358.78857		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	HRV	Croatia	2002	2002	199265.7932		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	HRV	Croatia	2003	2003	193606.7222		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	HRV	Croatia	2004	2004	231871.3733		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	HRV	Croatia	2005	2005	244045.2181		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	HRV	Croatia	2006	2006	207862.9744		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	HRV	Croatia	2007	2007	186083.2614		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	HRV	Croatia	2008	2008	262155.9476		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	HRV	Croatia	2009	2009	182765.681		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	HRV	Croatia	2010	2010	183411.9203		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	HRV	Croatia	2011	2011	187146.3747		
